height,height2,height3,FG3_attempted_by_minutes,FG3_attempted_by_minutes_1,FG3_attempted_by_minutes_2,FG3_attempted_by_minutes_3,position,position2
191,"0,325",0.32500000,"0,1403508772",0.14035088,"0,4103202933",0.41032029,Shooting guard,1
188,"0,25",0.25000000,"0,1580121058",0.15801211,"0,4619534618",0.46195346,Shooting guard,1
191,"0,325",0.32500000,"0,1148796499",0.11487965,"0,3358543429",0.33585434,Point guard,0
208,"0,75",0.75000000,"0,1585464334",0.15854643,"0,4635155857",0.46351559,Center,4
198,"0,5",0.50000000,"0,001650846059",0.00165085,"0,004826301428",0.00482630,Shooting guard,1
208,"0,75",0.75000000,"0,182012848",0.18201285,"0,5321204018",0.53212040,Power forward,3
193,"0,375",0.37500000,"0,199369937",0.19936994,"0,5828644085",0.58286441,Shooting guard,1
201,"0,575",0.57500000,"0,08385964912",0.08385965,"0,2451663752",0.24516638,Shooting guard,1
213,"0,875",0.87500000,"0,006555723651",0.00655572,"0,01916586846",0.01916587,Center,4
211,"0,825",0.82500000,"0,1048292108",0.10482921,"0,3064715617",0.30647156,Center,4
191,"0,325",0.32500000,"0,2053956019",0.20539560,"0,6004806332",0.60048063,Point guard,0
185,"0,175",0.17500000,"0,2842551551",0.28425516,"0,8310290675",0.83102907,Point guard,0
211,"0,825",0.82500000,"0,233118027",0.23311803,"0,6815280326",0.68152803,Center,4
208,"0,75",0.75000000,"0,2115203022",0.21152030,"0,618386391",0.61838639,Power forward,3
203,"0,625",0.62500000,"0,1071798668",0.10717987,"0,3133437799",0.31334378,Small forward,2
201,"0,575",0.57500000,"0,1210828852",0.12108289,"0,3539897004",0.35398970,Small forward,2
203,"0,625",0.62500000,"0,1846368715",0.18463687,"0,5397918187",0.53979182,Small forward,2
198,"0,5",0.50000000,"0,152426647",0.15242665,"0,4456241938",0.44562419,Small forward,2
196,"0,45",0.45000000,"0,04308202154",0.04308202,"0,1259516724",0.12595167,Shooting guard,1
201,"0,575",0.57500000,"0,1454013174",0.14540132,"0,4250854173",0.42508542,Shooting guard,1
208,"0,75",0.75000000,"0,1781221513",0.17812215,"0,5207458252",0.52074583,Power forward,3
191,"0,325",0.32500000,"0,1579281184",0.15792812,"0,461707922",0.46170792,Shooting guard,1
193,"0,375",0.37500000,"0,05878894768",0.05878895,"0,171871375",0.17187138,Shooting guard,1
208,"0,75",0.75000000,"0,1382278481",0.13822785,"0,4041135496",0.40411355,Power forward,3
193,"0,375",0.37500000,"0,1807909605",0.18079096,"0,5285481745",0.52854817,Shooting guard,1
188,"0,25",0.25000000,"0,1862799777",0.18627998,"0,5445954924",0.54459549,Point guard,0
203,"0,625",0.62500000,"0,2546857773",0.25468578,"0,7445820427",0.74458204,Power forward,3
201,"0,575",0.57500000,"0,2097222222",0.20972222,"0,6131296465",0.61312965,Shooting guard,1
202,"0,6",0.60000000,"0,1889570552",0.18895706,"0,5524220144",0.55242201,Power forward,3
203,"0,625",0.62500000,"0,0654028436",0.06540284,"0,191207312",0.19120731,Small forward,2
196,"0,45",0.45000000,"0,1083138173",0.10831382,"0,3166589206",0.31665892,Point guard,0
183,"0,125",0.12500000,"0,1802721088",0.18027211,"0,5270312949",0.52703129,Point guard,0
203,"0,625",0.62500000,"0,1587136929",0.15871369,"0,4640045742",0.46400457,Shooting guard,1
201,"0,575",0.57500000,"0,1922519913",0.19225199,"0,5620548658",0.56205487,Power forward,3
188,"0,25",0.25000000,"0,07505070994",0.07505071,"0,2194131588",0.21941316,Shooting guard,1
211,"0,825",0.82500000,"0,1144370861",0.11443709,"0,3345604934",0.33456049,Center,4
211,"0,825",0.82500000,"0,1985622211",0.19856222,"0,5805030251",0.58050303,Center,4
201,"0,575",0.57500000,"0,2257019438",0.22570194,"0,6598468753",0.65984688,Power forward,3
211,"0,825",0.82500000,"0,1257606491",0.12576065,"0,3676652932",0.36766529,Center,4
203,"0,625",0.62500000,"0,08133187773",0.08133188,"0,2377763544",0.23777635,Small forward,2
213,"0,875",0.87500000,"0,206814955",0.20681496,"0,6046301575",0.60463016,Center,4
206,"0,7",0.70000000,0,0.00000000,0,0.00000000,Power forward,3
213,"0,875",0.87500000,"0,0014059048",0.00140590,"0,004110207797",0.00411021,Center,4
206,"0,7",0.70000000,"0,0835837203",0.08358372,"0,2443596884",0.24435969,Power forward,3
203,"0,625",0.62500000,"0,01152802893",0.01152803,"0,0337025625",0.03370256,Power forward,3
213,"0,875",0.87500000,"0,1307775965",0.13077760,"0,3823324999",0.38233250,Center,4
201,"0,575",0.57500000,"0,002118644068",0.00211864,"0,006193923919",0.00619392,Small forward,2
191,"0,325",0.32500000,"0,1555004136",0.15550041,"0,4546104491",0.45461045,Point guard,0
185,"0,175",0.17500000,"0,1746239372",0.17462394,"0,510518684",0.51051868,Point guard,0
203,"0,625",0.62500000,"0,137332281",0.13733228,"0,4014953304",0.40149533,Center,4
208,"0,75",0.75000000,"0,1291410434",0.12914104,"0,3775479844",0.37754798,Power forward,3
211,"0,825",0.82500000,"0,1052631579",0.10526316,"0,30774022",0.30774022,Power forward,3
211,"0,825",0.82500000,"0,2074626866",0.20746269,"0,6065238216",0.60652382,Center,4
213,"0,875",0.87500000,"0,1122194514",0.11221945,"0,3280771672",0.32807717,Center,4
196,"0,45",0.45000000,"0,1458333333",0.14583333,"0,4263484296",0.42634843,Shooting guard,1
208,"0,75",0.75000000,"0,005387931034",0.00538793,"0,01575178927",0.01575179,Center,4
203,"0,625",0.62500000,"0,1563636364",0.15636364,"0,4571341086",0.45713411,Power forward,3
185,"0,175",0.17500000,"0,06873008648",0.06873009,"0,2009346133",0.20093461,Point guard,0
203,"0,625",0.62500000,"0,1102331856",0.11023319,"0,3222702554",0.32227026,Shooting guard,1
208,"0,75",0.75000000,"0,0006942034016",0.00069420,"0,002029525921",0.00202953,Power forward,3
206,"0,7",0.70000000,"0,06055045872",0.06055046,"0,1770212091",0.17702121,Power forward,3
213,"0,875",0.87500000,"0,0125",0.01250000,"0,03654415112",0.03654415,Center,4
183,"0,125",0.12500000,"0,02309468822",0.02309469,"0,06751806211",0.06751806,Point guard,0
185,"0,175",0.17500000,"0,1890339426",0.18903394,"0,5526467972",0.55264680,Point guard,0
201,"0,575",0.57500000,"0,1177113703",0.11771137,"0,3441329684",0.34413297,Small forward,2
201,"0,575",0.57500000,"0,2584745763",0.25847458,"0,7556587181",0.75565872,Small forward,2
198,"0,5",0.50000000,"0,0387275242",0.03872752,"0,1132211597",0.11322116,Shooting guard,1
196,"0,45",0.45000000,"0,02721930096",0.02721930,"0,07957649981",0.07957650,Shooting guard,1
191,"0,325",0.32500000,"0,01011089367",0.01011089,"0,0295595221",0.02955952,Shooting guard,1
185,"0,175",0.17500000,"0,1565457413",0.15654574,"0,4576664982",0.45766650,Point guard,0
213,"0,875",0.87500000,"0,154517134",0.15451713,"0,4517357996",0.45173580,Center,4
196,"0,45",0.45000000,"0,0865557554",0.08655576,"0,2530485284",0.25304853,Point guard,0
185,"0,175",0.17500000,"0,1516323024",0.15163230,"0,4433019019",0.44330190,Point guard,0
196,"0,45",0.45000000,"0,1343971631",0.13439716,"0,392914419",0.39291442,Power forward,3
191,"0,325",0.32500000,"0,1546072975",0.15460730,"0,4519993955",0.45199940,Shooting guard,1
208,"0,75",0.75000000,"0,1723231881",0.17232319,"0,5037923702",0.50379237,Power forward,3
185,"0,175",0.17500000,"0,287278415",0.28727842,"0,8398676648",0.83986766,Point guard,0
185,"0,175",0.17500000,"0,1171497585",0.11714976,"0,3424910782",0.34249108,Point guard,0
193,"0,375",0.37500000,"0,1978947368",0.19789474,"0,5785516134",0.57855161,Shooting guard,1
201,"0,575",0.57500000,"0,228531856",0.22853186,"0,6681202145",0.66812021,Small forward,2
191,"0,325",0.32500000,"0,2243650047",0.22436500,"0,655938291",0.65593829,Shooting guard,1
